"id","legal_name","position","addr_street","addr_housenumber","addr_postcode","municipality","health_facility_type","opening_hours","longitude","latitude","transport_option","user","bus_stop","train_stop","walking_distance"
"pharm-10","Farmacia Girardi","ViaEmilioColpi-179-38064-Folgaria","Via Emilio Colpi","179",38064,"Folgaria","pharmacy","PH,Su 10:00-12:00; Mo-Sa 08:30-12:30,15:45-19:15",11.1736862532487,45.9150464713168,"pharm-10_stop-ext-1997_(0.41km-5min)","pharm-10","stop-ext-1997",NA,"(0.41 km, 5 min)"
"pharm-10","Farmacia Girardi","ViaEmilioColpi-179-38064-Folgaria","Via Emilio Colpi","179",38064,"Folgaria","pharmacy","PH,Su 10:00-12:00; Mo-Sa 08:30-12:30,15:45-19:15",11.1736862532487,45.9150464713168,"pharm-10_stop-ext-2825_(0.30km-4min)","pharm-10","stop-ext-2825",NA,"(0.30 km, 4 min)"
"pharm-10","Farmacia Girardi","ViaEmilioColpi-179-38064-Folgaria","Via Emilio Colpi","179",38064,"Folgaria","pharmacy","PH,Su 10:00-12:00; Mo-Sa 08:30-12:30,15:45-19:15",11.1736862532487,45.9150464713168,"pharm-10_stop-ext-4302_(0.17km-2min)","pharm-10","stop-ext-4302",NA,"(0.17 km, 2 min)"
"pharm-10","Farmacia Girardi","ViaEmilioColpi-179-38064-Folgaria","Via Emilio Colpi","179",38064,"Folgaria","pharmacy","PH,Su 10:00-12:00; Mo-Sa 08:30-12:30,15:45-19:15",11.1736862532487,45.9150464713168,"pharm-10_stop-ext-4439_(0.76km-9min)","pharm-10","stop-ext-4439",NA,"(0.76 km, 9 min)"
"pharm-10","Farmacia Girardi","ViaEmilioColpi-179-38064-Folgaria","Via Emilio Colpi","179",38064,"Folgaria","pharmacy","PH,Su 10:00-12:00; Mo-Sa 08:30-12:30,15:45-19:15",11.1736862532487,45.9150464713168,"pharm-10_stop-ext-4684_(0.71km-9min)","pharm-10","stop-ext-4684",NA,"(0.71 km, 9 min)"
"pharm-11","Farmacia Romani","ViaGiuseppeSegantini-1-38015-Lavis","Via Giuseppe Segantini","1",38015,"Lavis","pharmacy","Mo-Sa 08:00-12:15,15:00-19:15",11.1071423239541,46.1413450326899,"pharm-11_stop-urb-4_(0.81km-10min)","pharm-11","stop-urb-4",NA,"(0.81 km, 10 min)"
"pharm-11","Farmacia Romani","ViaGiuseppeSegantini-1-38015-Lavis","Via Giuseppe Segantini","1",38015,"Lavis","pharmacy","Mo-Sa 08:00-12:15,15:00-19:15",11.1071423239541,46.1413450326899,"pharm-11_stop-urb-77_(0.34km-4min)","pharm-11","stop-urb-77",NA,"(0.34 km, 4 min)"
"pharm-11","Farmacia Romani","ViaGiuseppeSegantini-1-38015-Lavis","Via Giuseppe Segantini","1",38015,"Lavis","pharmacy","Mo-Sa 08:00-12:15,15:00-19:15",11.1071423239541,46.1413450326899,"pharm-11_stop-urb-78_(0.77km-9min)","pharm-11","stop-urb-78",NA,"(0.77 km, 9 min)"
"pharm-11","Farmacia Romani","ViaGiuseppeSegantini-1-38015-Lavis","Via Giuseppe Segantini","1",38015,"Lavis","pharmacy","Mo-Sa 08:00-12:15,15:00-19:15",11.1071423239541,46.1413450326899,"pharm-11_stop-urb-79_(0.45km-5min)","pharm-11","stop-urb-79",NA,"(0.45 km, 5 min)"
"pharm-11","Farmacia Romani","ViaGiuseppeSegantini-1-38015-Lavis","Via Giuseppe Segantini","1",38015,"Lavis","pharmacy","Mo-Sa 08:00-12:15,15:00-19:15",11.1071423239541,46.1413450326899,"pharm-11_stop-urb-80_(0.14km-2min)","pharm-11","stop-urb-80",NA,"(0.14 km, 2 min)"
